source,target,idperson,time,frequency
Röcken,Naumburg,Nietzsche,0.5,1
Naumburg,NaumburgDomgymnasium,Nietzsche,0.05,500
Naumburg,Schulpforta,Nietzsche,0.04,50
Naumburg,Jena,Nietzsche,0.1,1
Naumburg,Gorenzen,Nietzsche,0.1,1
Naumburg,Meiningen,Nietzsche,15,1
Schulpforta,Kösen,Nietzsche,0.1,1
Schulpforta,Schwelm,Nietzsche,0.1,1
Schulpforta,Bonn,Nietzsche,0.1,1
Bonn,Leipzig,Nietzsche,0.1,1
Leipzig,Naumburg,Nietzsche,0.1,4
Leipzig,Basel,Nietzsche,1,1
Basel,Tribschen,Nietzsche,1,5
Basel,Clarens,Nietzsche,1,1
Basel,Maderanertal,Nietzsche,1,1
Basel,GotthardPass,Nietzsche,1,1
GotthardPass,Lugano,Nietzsche,1,1
Basel,Gimmelwald,Nietzsche,1,1
Basel,Bayreuth,Nietzsche,1,2
Basel,Naumburg,Nietzsche,1,8
Basel,Bex,Nietzsche,1,1
Bex,Geneve,Nietzsche,0.5,1
Basel,Geneve,Nietzsche,1.3,2
Basel,StMoritz,Nietzsche,1,1
StMoritz,Naumburg,Nietzsche,2.3,1
Naumburg,Riva,Nietzsche,2.5,1
Riva,Venezia,Nietzsche,1,1
Riva,Marienbad,Nietzsche,3.7,1
Marienbad,Naumburg,Nietzsche,2.3,1
Basel,Stresa,Nietzsche,2.3,2
Stresa,Genova,Nietzsche,1,1
Genova,Livorno,Nietzsche,1,1
Livorno,Napoli,Nietzsche,2.5,1
Napoli,Sorrento,Nietzsche,0.1,21
Sorrento,Genova,Nietzsche,3.5,1
Genova,Milano,Nietzsche,1,1
Milano,Lugano,Nietzsche,0.9,1
Lugano,BadRagaz,Nietzsche,0.5,1
BadRagaz,Rosenlaui,Nietzsche,0.5,1
Rosenlaui,Basel,Nietzsche,1,1
Genova,StMoritz,Nietzsche,2.2,1
StMoritz,Sils-Maria,Nietzsche,0.1,1
Sils-Maria,Genova,Nietzsche,2.3,1
Genova,Torino,Nietzsche,0.5,1
Genova,Messina,Nietzsche,3.6,1
Messina,Taormina,Nietzsche,0.1,1
Messina,Roma,Nietzsche,3.6,1
Roma,Stresa,Nietzsche,4.75,1
Leipzig,Rapallo,Nietzsche,3.7,1
Rapallo,Genova,Nietzsche,0.1,1
Genova,Roma,Nietzsche,1.5,1
Roma,Sils-Maria,Nietzsche,2.3,1
Sils-Maria,Naumburg,Nietzsche,2.3,1
Naumburg,Nice,Nietzsche,3.6,1
Nice,Venezia,Nietzsche,1,2
Basel,Zürich,Nietzsche,0.5,3
Zürich,Sils-Maria,Nietzsche,1,1
Sils-Maria,Menton,Nietzsche,2.3,1
Menton,Nice,Nietzsche,0.25,1
Venezia,Sils-Maria,Nietzsche,2.3,2
Sils-Maria,Nice,Nietzsche,2.5,2
Nice,Leipzig,Nietzsche,3.6,1
Leipzig,Sils-Maria,Nietzsche,3.6,1
Sils-Maria,Ruta,Nietzsche,2.3,1
Ruta,Nice,Nietzsche,0.5,1
Venezia,Torino,Nietzsche,1.7,1
Torino,Naumburg,Nietzsche,3.6,1
Naumburg,Weimar,Nietzsche,0.15,1
Sils-Maria,Silvaplana,Nietzsche,0.2,600